mu,mean_ndcg,std_ndcg,mean_map,std_map,mean_mrr,mean_p10,ndcg_fold_1,ndcg_fold_2,ndcg_fold_3,ndcg_fold_4,ndcg_fold_5
100,0.7706110776640301,0.05884107269338258,0.5618016744841424,0.0771011378816931,0.875,0.7128571428571429,0.734780592698172,0.6970466110853059,0.7420194685475444,0.8278107324020333,0.8513979835870952
75,0.7692903707254007,0.05895710246308355,0.5609794017639197,0.07859062990428471,0.8607142857142858,0.7178571428571427,0.7349385443312558,0.7021456935709389,0.7299964100239962,0.8288170415851804,0.8505541641156321
125,0.7692209134418192,0.059185111711548714,0.5606140493868524,0.07640703972489091,0.8607142857142858,0.7128571428571429,0.732368701599748,0.6965479543005607,0.7399943005067999,0.8245483346723519,0.8526452761296357
200,0.769121803536598,0.060599691688434085,0.5605698082443688,0.07470616339344592,0.8714285714285716,0.7071428571428571,0.7274370155420938,0.6942546273293615,0.7457275633041494,0.8206675212885465,0.8575222902188393
90,0.768557461517225,0.05979196725928312,0.5602414933571778,0.07844845306595956,0.8607142857142858,0.7092857142857143,0.7346731056651888,0.6992061409746869,0.7295893003641208,0.8276560844753903,0.8516626761067377
50,0.7682868826101906,0.06011150261225496,0.5615120686006158,0.08109435893528331,0.8416666666666666,0.7228571428571428,0.7343594647944675,0.7031386258195772,0.722577154910227,0.83357982594656,0.8477793415801216
500,0.7639154065212314,0.05965801965951207,0.552843185344784,0.07311719649565541,0.8785714285714284,0.6907142857142856,0.7281708334716556,0.6921833519390995,0.7359509873487607,0.80500805850967,0.8582638013369709
1000,0.7562388301048999,0.057754615492060846,0.5460921038608382,0.07188567526853229,0.869047619047619,0.6821428571428572,0.7183506908276984,0.6893221707396536,0.7311547436691505,0.7920297563128488,0.8503367889751483
2000,0.7509793113444158,0.05835247907046048,0.5399111282403907,0.07201209231789259,0.869047619047619,0.6821428571428572,0.7074230901268114,0.6894534615006782,0.7243755790079518,0.7854841333311013,0.8481602927555362
